,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
102,3,51,0,7,6
957,1,87,0,6,1
8556,2,42,0,7,3
3785,7,47,1,8,5
9630,9,44,1,8,9
7173,2,43,1,6,8
4043,9,83,1,4,8
2648,8,69,1,4,5
6000,4,49,0,8,4
7927,5,83,1,6,8
2826,6,74,0,5,4
4094,9,90,1,4,9
7774,3,70,0,9,6
9258,3,98,0,8,1
8113,9,47,1,9,8
4772,7,97,0,4,4
1947,8,57,0,6,7
6109,2,65,1,5,4
2299,8,95,1,9,6
7844,8,81,0,9,6
4382,4,78,0,8,6
5425,6,75,0,9,2
6771,5,69,0,9,9
8578,6,45,0,8,8
4291,1,40,0,9,7
528,4,80,0,5,5
1233,5,97,0,6,3
779,1,87,1,8,6
5859,9,78,1,6,7
3059,6,97,0,9,1
8587,1,80,0,6,3
1860,4,73,1,4,3
8438,7,41,0,4,9
7403,9,70,0,5,9
4639,4,51,0,5,9
4250,4,48,1,9,2
1992,2,58,0,9,7
7379,7,77,1,7,4
7305,2,44,0,8,8
5303,1,91,1,6,3
8192,1,79,1,4,3
7447,8,89,0,8,7
2471,8,95,0,9,9
7197,3,75,0,4,2
5312,8,87,1,5,6
9035,3,69,1,4,5
1396,2,68,1,4,7
4002,4,72,0,5,7
5371,2,61,0,9,0
3235,3,82,0,5,8
1042,9,49,0,6,4
3298,3,63,0,6,9
7256,6,88,1,6,2
257,7,52,0,6,5
7286,4,63,1,8,5
8616,8,47,0,5,8
7816,1,67,0,5,0
5843,6,76,1,4,3
2089,1,44,0,9,9
7702,6,83,1,8,8
503,3,42,1,4,7
5265,2,59,1,9,4
8814,2,80,1,9,1
1345,4,62,1,8,2
8455,3,79,0,9,3
5046,1,90,0,7,7
2248,4,66,1,7,9
4981,7,56,1,8,7
372,5,95,1,5,7
8454,9,61,0,9,2
3370,9,86,1,8,3
2006,2,81,1,7,5
3656,9,56,0,6,3
8327,4,41,1,7,3
7521,1,64,0,4,4
4001,5,47,1,8,7
6072,7,66,1,9,8
8736,8,87,0,5,5
997,9,72,0,9,5
8179,1,84,0,8,1
3290,9,93,0,5,3
1176,4,68,0,4,1
551,6,75,1,6,6
744,7,90,0,8,2
7223,6,82,1,7,2
4554,9,42,1,9,3
2859,8,75,0,8,3
8820,3,65,0,5,0
3459,6,60,1,7,5
2724,8,55,1,7,9
6847,6,68,0,8,1
7615,7,70,1,7,9
7547,3,83,1,5,3
9174,3,87,1,7,1
6393,1,92,1,4,6
5358,4,81,0,7,8
9488,9,72,1,6,4
2968,2,97,1,6,1
693,6,75,1,4,3
2533,4,67,1,6,5
6399,7,57,1,9,6
982,4,47,1,9,6
5364,8,86,1,6,0
79,8,93,1,6,9
4053,9,58,1,5,2
6258,7,93,0,6,0
9576,1,62,1,8,6
9025,9,74,1,4,5
3107,9,98,1,4,9
3601,9,85,1,9,6
6073,1,47,1,5,0
8126,6,77,0,4,7
2142,8,84,1,9,6
6310,6,93,1,5,5
2268,8,80,1,8,1
445,3,56,0,7,6
4883,2,84,0,5,2
4466,7,93,0,9,0
9026,4,56,1,5,0
6632,1,42,1,8,9
3316,5,98,1,4,7
1701,5,95,1,9,4
2526,7,83,1,9,8
68,9,94,0,9,1
1168,5,40,0,6,8
48,2,81,1,4,3
1053,2,91,1,8,0
4029,5,54,1,4,3
880,3,88,1,7,7
2651,8,52,1,6,3
7759,6,80,1,6,9
2439,2,42,1,9,4
4924,5,97,0,8,1
1467,9,61,1,9,9
7292,6,77,0,9,3
5035,8,79,1,7,4
2441,3,95,0,7,1
6554,2,82,1,7,9
230,6,89,0,8,0
1320,9,76,1,8,1
41,2,63,1,6,0
777,4,42,1,6,8
8950,8,88,1,5,6
8404,2,96,0,7,5
1729,4,40,0,5,1
3910,5,78,1,8,3
579,2,99,1,6,3
9941,3,56,1,4,5
5839,8,63,0,5,8
8271,5,68,0,4,0
7275,8,72,1,6,8
1491,4,75,0,9,9
9109,1,71,0,8,1
5610,3,91,1,6,7
61,9,97,1,8,5
5471,7,57,0,9,8
3905,2,86,0,8,6
6531,5,89,1,4,0
402,3,89,0,8,7
332,1,40,0,5,9
2084,8,72,1,8,7
9557,3,62,0,6,2
164,1,69,1,9,8
4379,4,92,1,4,7
2715,7,72,1,4,2
8923,8,53,1,9,0
7346,2,66,1,6,7
5453,6,62,0,5,9
7046,2,54,1,9,9
1334,2,58,1,8,4
8698,7,49,1,6,9
1659,9,43,1,6,8
3578,5,43,0,4,8
753,5,87,1,6,7
6584,4,49,1,8,8
706,9,41,1,8,5
3014,8,45,1,7,1
8558,7,40,1,8,2
9875,5,69,1,7,2
9582,4,72,1,7,1
8928,7,50,1,8,3
9556,2,48,0,7,7
8983,9,55,1,4,2
1834,2,53,0,5,2
2996,3,88,0,9,1
5427,1,91,0,6,2
3879,5,51,1,7,1
7156,3,66,1,7,3
5081,9,62,0,9,1
9114,7,74,0,9,1
7244,8,40,0,8,3
5400,7,72,1,9,4
5395,3,53,1,5,2
9427,4,53,1,9,1
2246,5,79,1,4,1
835,1,52,1,9,7
8394,5,54,1,5,5
9042,6,76,1,6,7
432,1,73,1,5,8
3378,7,65,0,9,7
6817,5,66,0,4,1
8131,8,48,0,9,6
9621,6,47,1,6,4
6066,1,60,0,4,2
1193,4,69,1,7,6
6934,3,83,1,7,5
5461,9,46,0,8,5
3071,5,62,1,4,7
3044,6,90,1,9,8
3263,5,99,1,6,0
2729,8,45,0,6,4
3433,6,68,0,4,0
433,3,48,1,5,3
3272,8,65,1,4,8
7001,4,90,1,8,4
9726,2,89,0,4,4
104,5,70,0,8,6
3315,5,80,0,9,2
1656,1,46,1,5,5
1533,3,83,1,7,5
4680,9,56,1,8,3
8813,4,78,1,7,3
9002,9,97,1,9,1
6622,1,83,1,7,2
1443,6,86,0,7,2
214,7,83,1,5,6
5356,3,55,1,9,6
9218,8,85,0,6,0
6322,6,88,0,4,6
4989,6,97,0,7,9
1419,6,52,0,9,2
9516,5,54,0,8,7
8606,6,66,1,4,8
181,6,43,1,4,0
4352,2,76,1,8,6
8700,8,64,1,7,4
2446,8,92,0,6,7
5321,6,92,0,4,9
8045,5,73,1,6,0
5684,5,83,1,8,3
3532,6,44,1,6,8
8244,9,81,0,9,8
7976,8,94,0,6,1
3698,3,83,0,9,6
70,9,77,0,9,9
544,8,83,0,7,4
1204,3,54,1,7,5
3078,3,66,0,8,3
9106,8,52,0,4,3
9120,2,57,1,7,1
9680,7,86,1,8,6
6180,7,90,1,7,5
8329,4,43,1,6,3
4284,8,86,1,8,4
4007,8,72,0,7,2
8713,8,95,1,4,6
877,4,96,1,7,7
8060,5,89,1,6,9
196,8,84,0,5,6
9746,2,49,0,6,6
4010,7,87,1,9,7
9962,4,80,0,7,8
2571,8,93,1,5,7
3753,6,83,1,4,7
9247,6,90,1,6,8
8628,9,49,1,7,1
9368,5,74,1,4,9
6159,8,68,0,9,5
4791,6,52,0,6,4
5337,7,93,1,4,6
3024,1,51,0,8,9
2718,6,49,1,7,9
8655,8,61,1,5,9
6916,2,63,0,9,4
3984,5,66,1,4,7
7308,3,91,1,8,2
5953,5,90,1,4,4
3844,8,41,0,9,1
2682,2,47,1,7,1
4024,8,67,1,5,9
8715,3,77,1,9,6
3139,7,74,1,6,7
4237,8,85,1,5,7
218,3,65,1,4,2
6618,5,75,1,4,0
9606,8,97,0,6,0
5268,4,57,1,4,1
2543,9,65,1,7,6
2870,7,69,1,7,2
1244,4,49,1,7,0
420,5,72,0,6,1
6227,1,75,1,4,5
2058,7,85,0,8,8
8493,2,78,0,9,1
6434,4,50,1,9,8
3422,5,90,0,8,9
4510,4,76,0,4,1
1166,6,58,1,4,2
254,1,45,0,7,4
415,2,81,0,6,1
9175,2,42,0,9,2
3469,4,58,0,7,6
3050,8,77,0,6,9
759,4,76,0,9,1
1385,3,63,0,6,3
654,9,56,1,7,3
1201,2,79,0,6,3
2413,6,55,1,4,9
5579,9,60,1,8,1
5993,3,78,0,6,2
5294,1,95,0,8,4
3055,3,88,0,5,3
2830,5,92,0,5,8
2970,8,84,0,8,1
328,4,41,1,8,2
4270,4,87,0,4,3
5994,9,69,1,6,3
4392,2,44,0,4,1
2063,6,47,1,6,8
8301,5,53,1,6,3
9013,4,71,1,9,5
9329,1,64,1,6,3
5169,6,96,1,9,1
4429,6,74,0,7,0
1281,9,88,0,7,1
3381,7,53,1,5,1
2636,1,97,1,8,7
3328,5,84,1,9,8
6436,2,58,1,7,7
5018,9,47,0,5,6
7324,8,85,1,7,6
3795,8,87,1,8,4
2663,2,51,0,4,0
8282,7,50,0,6,9
1282,3,84,0,4,6
4148,1,48,1,5,2
1362,1,85,0,7,8
1437,3,63,0,5,2
9628,3,46,0,6,4
3441,3,80,0,8,7
56,2,54,1,9,5
4597,8,88,0,4,4
8479,1,45,1,4,5
5365,6,49,1,5,1
1844,7,96,1,9,1
5515,1,79,0,6,1
8573,9,48,1,6,0
6263,2,83,1,9,7
2880,3,61,1,8,1
1743,1,51,0,4,4
8398,4,43,0,8,6
4169,5,95,0,7,8
5197,9,64,1,8,2
8993,4,77,0,5,4
740,6,93,0,5,5
9066,7,81,0,8,0
1624,8,48,1,7,1
524,5,51,0,9,4
7999,3,82,0,8,3
4419,6,46,1,4,5
5426,8,74,1,6,5
6689,8,44,0,7,8
7382,1,82,1,4,4
435,2,57,0,5,8
2960,5,91,0,4,4
308,2,60,1,6,8
1565,1,98,0,6,6
2631,6,53,1,7,1
5597,8,50,0,9,2
9477,8,98,1,8,3
401,1,49,1,7,3
3826,2,64,0,9,0
881,4,43,0,6,1
3997,2,40,0,9,2
7118,1,64,0,8,5
3265,1,86,0,9,0
8406,3,86,0,9,2
5009,3,53,0,7,2
5736,7,83,1,9,9
5554,2,54,1,5,4
288,3,97,1,6,5
5564,3,43,1,6,1
8324,5,84,0,6,5
2623,1,83,1,6,6
8859,1,99,1,7,5
476,7,93,0,9,3
8591,5,71,0,4,4
9713,3,53,0,9,3
6522,2,53,0,6,5
3111,4,75,0,5,9
9470,3,45,1,7,7
737,9,57,1,4,8
3133,8,76,1,4,6
8047,2,91,1,8,5
6551,7,88,1,9,4
5407,3,65,1,6,6
5563,8,52,0,6,0
5328,1,57,1,4,9
6718,1,94,1,6,9
5118,4,49,1,8,9
4619,3,41,1,4,1
3689,5,57,1,9,1
7716,6,70,0,6,6
1839,4,96,1,7,9
1995,2,74,1,5,1
2399,2,89,0,7,7
6510,6,82,0,5,4
9356,4,64,1,9,3
4119,8,72,1,4,8
5894,7,65,0,5,7
800,6,48,1,4,1
8423,1,76,1,7,3
7680,1,83,0,7,4
1405,3,61,0,6,6
5431,7,78,0,8,5
69,1,87,1,8,8
9543,5,96,0,7,5
2759,8,99,0,9,3
8294,7,58,0,9,5
1586,1,82,0,9,7
6666,3,98,0,6,5
8014,6,42,1,9,5
1074,2,60,0,7,7
3063,5,48,1,6,4
6487,3,86,1,9,5
4705,6,43,1,6,4
9069,4,99,1,6,1
2603,6,90,1,9,3
7738,8,57,0,6,1
1579,6,92,1,8,7
5058,6,64,1,8,4
5753,5,60,1,6,6
3548,1,90,0,5,6
409,3,80,0,7,3
4097,3,55,1,5,8
6461,5,54,1,6,6
5601,8,76,0,8,4
5231,7,73,0,5,4
3777,2,72,1,4,1
2726,6,60,0,9,8
477,2,65,1,6,2
1329,2,44,1,9,8
4035,1,94,1,5,1
9642,3,99,1,6,8
1777,5,57,0,9,1
6096,4,93,1,5,2
751,3,86,1,5,3
5792,9,80,1,6,1
4060,3,74,0,6,6
9041,8,70,0,8,5
6030,5,49,1,5,0
5898,7,41,0,4,7
9338,2,87,1,7,6
9160,8,54,1,5,9
9996,7,64,1,8,5
5151,7,80,0,9,6
468,5,47,1,8,6
1545,7,76,0,8,8
6311,8,67,0,7,9
2683,3,53,1,9,8
8966,3,82,0,4,8
6181,3,95,0,9,1
1025,5,99,0,6,3
5112,9,85,1,8,1
8562,5,58,1,5,0
5368,4,87,0,8,0
2354,7,46,0,7,4
7278,9,84,0,9,3
3602,7,55,0,7,3
773,4,98,0,7,2
6773,9,75,0,8,6
8809,3,60,1,5,1
3382,7,53,1,5,5
641,5,47,0,4,9
4233,8,94,0,9,1
3815,6,97,0,7,5
4104,4,45,1,7,6
9925,1,67,0,6,9
1108,7,73,1,9,5
3527,4,97,1,6,2
3495,1,59,1,5,6
1420,5,56,0,9,6
6923,6,88,1,7,6
3881,6,69,0,9,4
8353,9,45,0,4,9
6245,1,96,0,8,3
4938,1,78,0,8,3
6798,9,52,1,8,3
7812,7,93,1,4,2
1680,1,75,1,4,4
6715,7,41,1,9,8
633,4,50,1,6,7
2569,1,69,0,4,3
7359,6,88,0,4,6
2166,4,73,0,7,4
8169,5,77,1,8,0
8845,8,82,0,8,8
2825,6,77,1,7,0
4087,6,54,0,7,3
6243,2,90,0,6,2
8364,9,83,1,8,9
3941,1,91,1,5,0
9179,1,69,1,5,1
8075,9,45,1,8,4
